Member,Total VP,MANA VP,LAND VP,NAMES VP,Delegated VP,Has Delegated,Delegate,Has Delegators,Delegators,Avatar Preview
0x0be01f6bcbbc248824cf39a585e5e65a3f146cc9,16.733057536982212,16.733057536982212,0,0,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x0be01f6bcbbc248824cf39a585e5e65a3f146cc9
0x505d688a38b8cb9190b4f671d98a37a784e92c1f,101.76097000764968,1.7609700076496693,0,100,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x505d688a38b8cb9190b4f671d98a37a784e92c1f
0xb967e8532cea5c6d13ada530064c01bbe4d429ea,13.288180646729247,13.288180646729247,0,0,0,Yes,0x86c62a0dd8690fa2ba6e3e3d9a18d021dbd2565a,No,,https://wearable-preview.decentraland.org/?profile=0xb967e8532cea5c6d13ada530064c01bbe4d429ea
0x51777c0b8dba8b4dfe8a1c3d0a1edaa5b139b4e0,935.1841132386108,735.1841132386108,0,200,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x51777c0b8dba8b4dfe8a1c3d0a1edaa5b139b4e0
0x2f1a5c8523839c2d0692f7c89116fb067b77a532,558200,100,0,100,558000,No,,Yes,0x8da57070a9965582468df2159a4067bf53c91f0f,https://wearable-preview.decentraland.org/?profile=0x2f1a5c8523839c2d0692f7c89116fb067b77a532
0x01e73804f0d44a289d69930552bb408cafafa26d,2250.8003771417507,250.8003771417506,2000,0,0,Yes,0xd6eff8f07caf3443a1178407d3de4129149d6ef6,No,,https://wearable-preview.decentraland.org/?profile=0x01e73804f0d44a289d69930552bb408cafafa26d
0x5537e702bcdd505bcb224b54f0779d71ff3dc42a,410,310,0,100,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x5537e702bcdd505bcb224b54f0779d71ff3dc42a
0x5b1899d88b4ff0cf5a34651e7ce7164398211c66,23.360517114438796,23.360517114438796,0,0,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x5b1899d88b4ff0cf5a34651e7ce7164398211c66
0x73d0f553427bef66920db3aba02ccfac08c3d0ef,369.3128623864241,169.31286238642411,0,200,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x73d0f553427bef66920db3aba02ccfac08c3d0ef
0x0d35c117431e1918e4296f6188ea349c0f02dd9d,2490.952534594582,90.95253459458239,2000,400,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x0d35c117431e1918e4296f6188ea349c0f02dd9d
0x0f5e6c14c0badcb5be4087755226aee87c948907,0.4,0.4,0,0,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x0f5e6c14c0badcb5be4087755226aee87c948907
0x26ce3ceff8f60b40af237a2d5a11e4e81f0bc606,4240.511490369472,40.51149036947252,4000,200,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x26ce3ceff8f60b40af237a2d5a11e4e81f0bc606
0x1e09a216b70d46229f3fe86d3ad2e47ae01f7989,100004.06109006106,4.061090061067266,0,0,100000,No,,Yes,0x7812e965984f5e56e4e6d057bc85956b76501cb1,https://wearable-preview.decentraland.org/?profile=0x1e09a216b70d46229f3fe86d3ad2e47ae01f7989
0xcabd7395635fb2df2bb6a6f6768709d70d6a9ac9,2027.1054130416107,0.25,0,1600,426.85541304161075,No,,Yes,0xb47f2849a6eca2a7bcc91883141dbc7b4bc13e19,https://wearable-preview.decentraland.org/?profile=0xcabd7395635fb2df2bb6a6f6768709d70d6a9ac9
0x1e099d334602cb20b4db7ff9c5dde43c3ad94cfc,2100,2000,0,100,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x1e099d334602cb20b4db7ff9c5dde43c3ad94cfc
0x9a053dcbe69f1afe4c8d30d5a2faaedfb191e8bd,2012.83208534,12.83208534,2000,0,0,Yes,0x65813baedfd68029af5382672b0e4dd2e6f27952,No,,https://wearable-preview.decentraland.org/?profile=0x9a053dcbe69f1afe4c8d30d5a2faaedfb191e8bd
0xfab9a3d37999e12252b47468d2ffd4be15936012,428.5577507696564,328.5577507696564,0,100,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0xfab9a3d37999e12252b47468d2ffd4be15936012
0xb0145ae156d201d6e371d07265fe3c045071c967,435950.29,9850.29,0,100,426000,No,,Yes,0x539d5251360887da47e65c1dd65465ff581a6c5d,https://wearable-preview.decentraland.org/?profile=0xb0145ae156d201d6e371d07265fe3c045071c967
0x99ec37c145060fe7ee9e346c3d40cb7fd28ed80f,2123.993694534951,23.99369453495123,2000,100,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x99ec37c145060fe7ee9e346c3d40cb7fd28ed80f
0x484ec62385e780f2460feac34864a77ba5a18134,213.01790849033344,13.017908490333443,0,200,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x484ec62385e780f2460feac34864a77ba5a18134
0x5ad9325ef546b42f2a185e27097239f071345b3c,100,0,0,100,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x5ad9325ef546b42f2a185e27097239f071345b3c
0x17de2c9c7889ed66c0b8fa0aa0c01c4908b73b75,204.875,4.875,0,200,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x17de2c9c7889ed66c0b8fa0aa0c01c4908b73b75
0xf8d8e8dca72d41aba3e24518194e9eaf03fdda86,14000.0009091,0.0009091,0,14000,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0xf8d8e8dca72d41aba3e24518194e9eaf03fdda86
0x0506d39effcaefbc632cbe72c36c4d64759a665f,104.08796189440801,4.087961894408018,0,100,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x0506d39effcaefbc632cbe72c36c4d64759a665f
0x474543b99438a978b39d39d8983723eb5ff9196b,135.1516382184214,35.15163821842138,0,100,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x474543b99438a978b39d39d8983723eb5ff9196b
0x6cd7694d30c10bdab1e644fc1964043a95ceea5f,100,100,0,0,0,Yes,0x549a9021661a85b6bc51c07b3a451135848d0048,No,,https://wearable-preview.decentraland.org/?profile=0x6cd7694d30c10bdab1e644fc1964043a95ceea5f
0x3f24e38d5fc6ecae2c174108d5792e5da663583b,588.1747673018451,388.1747673018451,0,200,0,Yes,0x6cf385da1f795cb26811867438e5f215e9b9bdf4,No,,https://wearable-preview.decentraland.org/?profile=0x3f24e38d5fc6ecae2c174108d5792e5da663583b
0xff3b47a66d1cd6544ee91dd5a69db660bb4a867d,30074.8247444844,30074.8247444844,0,0,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0xff3b47a66d1cd6544ee91dd5a69db660bb4a867d
0xbc9fb2a60f43a3ac7babe3d41f11b04ec439dd42,800000,800000,0,0,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0xbc9fb2a60f43a3ac7babe3d41f11b04ec439dd42
0x0d269541a5812e1362f47222035cef5dac5466f2,149960.5721565357,149960.5721565357,0,0,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x0d269541a5812e1362f47222035cef5dac5466f2
0xfa9aa3005f132ce8f91b3e1f84c01d84c375ce01,284831.792181071,108631.79218107098,176000,200,0,Yes,0xf7748b4f60a8d36dcd6ccb3d30244baecb1429cf,No,,https://wearable-preview.decentraland.org/?profile=0xfa9aa3005f132ce8f91b3e1f84c01d84c375ce01
0xccd5089557ae6a2ba063e8720e725a6bf743b3e8,8100,0,8000,100,0,Yes,0x86edb92e217605dbecf606548e48daaf1b817da1,No,,https://wearable-preview.decentraland.org/?profile=0xccd5089557ae6a2ba063e8720e725a6bf743b3e8
0xfba23bb6d4bc1c23d3a53d6b5b19d84d4e4b50b6,111,11,0,100,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0xfba23bb6d4bc1c23d3a53d6b5b19d84d4e4b50b6
0x1ec0b9feb7d58e7396cfb50857e20223d6e6db15,2000,0,2000,0,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x1ec0b9feb7d58e7396cfb50857e20223d6e6db15
0x68f28ce6ea7af70f5a8c616a8d879b50d382f96f,100,0,0,100,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x68f28ce6ea7af70f5a8c616a8d879b50d382f96f
0xc15316bde4fa13dd8f3f3348dccb878e8c033518,56.22707768103304,56.22707768103304,0,0,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0xc15316bde4fa13dd8f3f3348dccb878e8c033518
0xc7e2c691cf1b809496b70c7c02b9b1c2c3ef2779,5469.53316387302,69.53316387301999,4000,1400,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0xc7e2c691cf1b809496b70c7c02b9b1c2c3ef2779
0x65cffa79286e372ca15ddedbf6bb203821980b73,5317.5,117.5,0,5200,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x65cffa79286e372ca15ddedbf6bb203821980b73
0x3a2cc2a5b269ac124170a64a128f1f92a80f9819,2215.21,15.21,2000,200,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x3a2cc2a5b269ac124170a64a128f1f92a80f9819
0xd9935d39c5d7f8699a5db139ca2182ee9169ffc4,625,125,0,500,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0xd9935d39c5d7f8699a5db139ca2182ee9169ffc4
0x3b4f0d1bfcb2ffe8aadaa455d0f03210f848c915,105.12567499452142,5.125674994521415,0,100,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x3b4f0d1bfcb2ffe8aadaa455d0f03210f848c915
0xa8f98b7b2039256ba66a12fead20e750ecf9670d,7747.9,5647.9,2000,100,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0xa8f98b7b2039256ba66a12fead20e750ecf9670d
0x9fba7c71f7a502799a1f2fa462fb7b30c2ca5d8e,2100,0,2000,100,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x9fba7c71f7a502799a1f2fa462fb7b30c2ca5d8e
0xf0480e7b09edb7229d4f7b3b25ef77429c5754cf,963.18674602,863.18674602,0,100,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0xf0480e7b09edb7229d4f7b3b25ef77429c5754cf
0xbbd8eb8e95a11e74c3f7f9c9fd62f34c8eaa2305,2853.92424569,753.92424569,2000,100,0,Yes,0x89a1d730aa1e78a0ede8dea988acecff0a6e99a9,No,,https://wearable-preview.decentraland.org/?profile=0xbbd8eb8e95a11e74c3f7f9c9fd62f34c8eaa2305
0x17a253c2ac0d5ba92cadbbf665e3390c9913dc5d,549.3492254786636,349.3492254786636,0,200,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x17a253c2ac0d5ba92cadbbf665e3390c9913dc5d
0x9a739c2e212754c3d8432cb717dc9437e5b3dfae,103328.58066310672,1328.580663106723,2000,0,100000,No,,Yes,0x849ff9e6c2bfaf113d7601818af654d7e931c7df,https://wearable-preview.decentraland.org/?profile=0x9a739c2e212754c3d8432cb717dc9437e5b3dfae
